date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:11	97901/97901	---M-Z	200	added ('OK')	text/html	etag:%2217e6d-670166ac-2a5e8a30d78ffceb;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index8.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index8.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:11	83252/83252	---M-Z	200	added ('OK')	text/html	etag:%2214534-670166ac-357b8812240bbcf2;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_cards.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_cards.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:11	72476/72476	---M-Z	200	added ('OK')	text/html	etag:%2211b1c-670166ac-5bc7effd19ca279e;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_advanced.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_advanced.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:11	70130/70130	---M-Z	200	added ('OK')	text/html	etag:%22111f2-670166ac-b6d33aaa1fdd3436;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_basic.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_basic.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:12	77149/77149	---M-Z	200	added ('OK')	text/html	etag:%2212d5d-670166ac-2bb55d90dbcdd496;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_color.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_color.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:12	73186/73186	---M-Z	200	added ('OK')	text/html	etag:%2211de2-670166ac-4df1379a601bc6c4;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_group.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/box_group.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:12	74467/74467	---M-Z	200	added ('OK')	text/html	etag:%22122e3-670166ac-ef3b6beb7f65047;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_grid.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_grid.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:13	72569/72569	---M-Z	200	added ('OK')	text/html	etag:%2211b79-670166ac-b340ea82c57353b4;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_badges.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_badges.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:13	66189/66189	---M-Z	200	added ('OK')	text/html	etag:%221028d-670166ac-f6f400bfeaed8447;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_border_utilities.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_border_utilities.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
09:16:13	114496/114496	---M-Z	200	added ('OK')	text/html	etag:%221bf40-670166ac-53e38c7b80521ce6;gz%22	https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_buttons.html	E:/Prahlad/Wihout%20SVN/Finance/investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/ui_buttons.html	(from https://investx-admin-template.multipurposethemes.com/html/template/vertical-light/main/index.html)
